n_qubits,n_layers,rmse_untrained,rmse_trained,signal_var0,noise_var0,signal_var_opt,noise_var_opt,train_time_sec,path
4,2,1.2017820491817945,0.42916117023015465,1.0,0.03,0.48688162026710297,0.001577308196260937,21.399105072021484,../results/qgp_layers_qubits/qgp_qubits-4_layers-2.npz
4,4,0.888749764509942,0.4216953000525185,1.0,0.03,1.3051924307016187,0.0026278991531189493,37.209330320358276,../results/qgp_layers_qubits/qgp_qubits-4_layers-4.npz
4,8,0.584581221648058,0.4182915177191016,1.0,0.03,1.3906498530424283,0.0027245554789296195,69.7880311012268,../results/qgp_layers_qubits/qgp_qubits-4_layers-8.npz
8,2,0.571539453250781,0.40963217965602516,1.0,0.03,2.273657041479855,0.004590000867380122,43.023659229278564,../results/qgp_layers_qubits/qgp_qubits-8_layers-2.npz
8,4,0.5153065771770459,0.4241844321462816,1.0,0.03,1.0357902261358947,0.0019502344605767327,82.11222052574158,../results/qgp_layers_qubits/qgp_qubits-8_layers-4.npz
8,8,0.41470701111076524,0.41921253785183066,1.0,0.03,0.8140702329061678,0.0030227052866937413,158.47707676887512,../results/qgp_layers_qubits/qgp_qubits-8_layers-8.npz
